Logistic_Regression,Penalized_Regression,SVM,SVR,Decision_Trees,Random_Forests,Gradient_Boosting_Trees,k_Nearest_Neighbours,Naive_Bayes,MLP_ANN_DNN,ResNet_Family,DenseNet_Family,EfficientNet_Family,VGG_Family,Inception_Family,MobileNet_and_Lightweight_CNNs,U_Net_Family,V_Net_and_3D_Encoder_Decoder_Segmentation,Attention_and_Residual_U_Net_Variants,YOLO_Family,R_CNN_Family,RetinaNet_SSD_EfficientDet,LSTM_Family,GRU_Family,Bidirectional_and_Hybrid_RNNs,Biomedical_Encoder_Transformers,Large_Language_Models,Vision_Transformers,Vision_Foundation_Encoders,Segment_Anything_Family,Vision_Language_Models,Multimodal_Transformers,GCN_Family,GAT_Family,GraphSAGE_and_Message_Passing_GNNs,Autoencoders_and_VAE,GAN_Family,Diffusion_Models,Classical_Survival_Models,Neural_Cox_Models,Competing_Risk_Survival_Networks,Survival_Transformers,Graph_Survival_Models,Detection_Transformers_DETR,General_Semantic_Segmentation_CNNs,Genomic_Language_Models,State_Space_Models_and_Mamba
binary logistic regression,adaptive elastic net,c-support vector classification,epsilon svr,classification and regression tree,random forest,CatBoost,k nearest neighbor,bernoulli bayes classifier,ANN,resnet,densenet,efficientnet,vgg,inception network,MobileNet,U-Net,V-Net,Attention U-Net,yolov2,cascade r-cnn,single shot detector,LSTM,GRU,bidirectional LSTM,BioBERT,large language model,vision transformer,vision foundation model,segment anything,CLIP,MCAT,graph convolutional network,graph attention network,graphsage,autoencoder,generative adversarial network,diffusion model,accelerated failure time,deepsurv,deephit,survival transformer,survival graph neural network,Detection Transformer,Fully Convolutional Network,DNABERT,State Space Model
binomial logistic regression,adaptive lasso,c-svc,epsilon-support vector regression,decision tree,random forest classifier,categorical boosting,k nearest neighbor classifier,bernoulli naive bayes,artificial neural network,residual network,dense convolutional network,efficientnet-b0,vggnet,inception architecture,MobileNetV2,UNet,VNet,AttentionUNet,yolov6,region based cnn,RetinaNet,long short-term memory,gated recurrent unit,BiLSTM,PubMedBERT,LLM,swin transformer,vision foundation models,segment anything model,OpenCLIP,multimodal co-attention transformer,graph convolutional networks,graph attention networks,message passing neural network,autoencoders,generative adversarial networks,diffusion models,aft model,cox-nnet,competing risk neural network,survformer,survival gnn,DETR,FCN-8s,DNABERT-2,Structured State Space Model
logistic regression,elastic net,kernel support vector machine,epsilon-svr,decision tree classifier,random forests,extreme gradient boosting,k nearest neighbors,bernoullinb,backpropagation neural network,residual networks,densenet-121,efficientnet-b1,vgg network,inception-v1,MobileNet-V2,U-Net architecture,3D U-Net,residual U-Net,yolov9,rpn,SSD,LSTM network,GRU network,bidirectional GRU,ClinicalBERT,GPT-4,swin-t,dinov2,sam model,ALIGN,co-attention transformer,graph convolution,graph attention layer,message passing neural networks,variational autoencoder,gans,denoising diffusion probabilistic model,weibull survival,neural cox,deep competing risk,transformer-based survival,graph survival,Deformable DETR,FCN-16s,Geneformer,Mamba architecture
logistic regression classifier,elastic net logistic regression,kernel svm,kernel svr,decision trees,bagged tree ensemble,GBDT,k nearest neighbors classifier,categorical naive bayes,bp neural network,resnet-18,densenet-169,efficientnet-b2,vgg-16,inception-v2,MobileNetV3,u net,3D-UNet,ResUNet,yolox,region proposal network,EfficientDet,LSTM family,GRU family,BiGRU,BioClinicalBERT,BioGPT,swin-s,beit,medsam,SigLIP,PORPOISE,spectral graph convolution,multi-head graph attention,mpnn,variational autoencoders,cyclegan,denoising diffusion probabilistic models,nelson-aalen,deep cox,cause-specific neural network,transformer survival,graph cox,Conditional DETR,FCN-32s,scBERT,Vision Mamba
logit model,elastic net regression,least-squares support vector machine,least-squares support vector regression,c4.5,cforest,gradient boosted trees,k nearest neighbour,categoricalnb,bpnn,resnet-34,densenet-201,efficientnet-b3,vgg-19,inception-v3,MobileNet-V3,2d u-net,3D encoder-decoder,ResU-Net,pp-yolo,R-CNN,single shot multibox detector,long short term memory,gated recurrent units,bidirectional recurrent neural network,SciBERT,Med-PaLM,swin-b,bidirectional encoder representation from image transformers,medical sam,contrastive language-image pre-training,Perceiver,spatial graph convolution,GATv2,graph isomorphism network,vae,dcgan,ddpm,cox proportional hazards model,deep proportional hazards,deep multi-state survival,survtrace,graph convolutional survival,Anchor DETR,SegNet,Nucleotide Transformer,Vim model
logit regression,elastic net regularization,linear support vector classification,linear support vector regression,c5.0,conditional inference forest,gradient boosting,k nearest neighbours,complement naive bayes,dense feedforward network,resnet-50,densenet-264,efficientnet-b4,vgg16,inception-v4,MobileNet family,2d unet,volumetric U-Net,attention residual U-Net,yolo architecture,RCNN,EfficientDet family,lstm neural network,gru neural network,hybrid RNN,BlueBERT,LLaMA,swin-l,masked autoencoders,sam-med2d,BiomedCLIP,PerceiverIO,graph cnn,SuperGAT,gated graph neural network,denoising autoencoder,stylegan,latent diffusion,cox ph model,deep survival network,deep hit,survival transformers,patch-gcn survival,DAB-DETR,PSPNet,Enformer,VMamba
multiclass logistic regression,group lasso,linear svm,linear svr,cart decision tree,conditional random forest,gradient boosting trees,k-nearest neighbor,complementnb,dense neural network,resnet-101,DenseNet family,efficientnet-b5,vgg19,googlenet,ShuffleNet,vanilla u-net,3d unet,R2U-Net,YOLO,Fast R-CNN,RetinaNet family,stacked lstm,stacked gru,LSTM-GRU hybrid,Med-BERT,gpt,data-efficient image transformers,simclr,sam-med3d,MedCLIP,multimodal co-attention,chebnet,attention-weighted graph aggregation,ggnn,sparse autoencoder,wasserstein gan,stable diffusion,cox ph regression,nncox,dynamic-deephit,transformers for survival analysis,graphsurv,DN-DETR,Pyramid Scene Parsing Network,ESM-1b,S4 model
multinomial logistic regression,l1 penalized regression,ls-svm,ls-svr,chaid,extra tree,light gradient boosting machine,k-nearest neighbor classifier,gaussian bayes classifier,densely connected neural network,resnet-152,densely connected convolutional network,efficientnet-b6,vgg-11,inception-resnet,ShuffleNetV2,u-net++,3d u net,attention unet,YOLO family,Faster R-CNN,retina net,stacked long short-term memory,stacked gated recurrent unit,bidirectional rnn,biomedical BERT,generative pre-trained transformer,deit,momentum contrast,nn-sam,PLIP,genomic-pathology fusion transformer,chebyshev spectral graph convolutional network,edge attention mechanism,graph sample and aggregate,convolutional autoencoder,wgan,score-based generative model,proportional hazards model,deep surv,dynamic deephit,dynamic survival transformer,graph surv,UP-DETR,DeepLab,ESM-2,S4ND
multinomial logit,l1 regularized logistic regression,lssvm,non linear svr,chi square automatic interaction detection,extra trees,LightGBM,k-nearest neighbors,gaussian naive bayes,feed-forward artificial neural network,resnext,DenseNet121,efficientnet-b7,vgg11,inception-resnet-v2,SqueezeNet,unet++,3d u-net++,attention u net,you only look once,Mask R-CNN,single-shot multibox detector,peephole lstm,gru4rec,brnn,bio bert,generative pretrained transformer,pyramid vision transformer,swav,auto-sam,CONCH,WSI-omics fusion transformer,Chebyshev graph convolution,AttentiveFP,inductive graph learning,deep autoencoder,pix2pix,score based generative model,accelerated failure time model,cox proportional hazards deep neural network,deephit+,dynst,fgcnsurv,Lite-DETR,DeepLabv3,Evolutionary Scale Modeling,Mamba-UNet
multiple logistic regression,l2 penalized regression,non linear svm,nu svr,chi-squared automatic interaction detection,extra trees classifier,XGBoost,k-nearest neighbors classifier,gaussiannb,feed-forward neural network,wide resnet,DenseNet169,efficientnetv2,vgg-13,xception,lightweight CNN,u net++,3d unet++,attu-net,YOLOv3,region-based convolutional neural network,single shot multi box detector,lstm-rnn,bgru,bi-lstm,pubmed bert,gpt-2,pvt,dino,mobile-sam,QUILT,imaging-genomics transformer,spectral graph convolutional network,graph attention for drug discovery,inductive representation learning on graphs,adversarial autoencoder,conditional gan,guided diffusion,accelerated failure time models,cox nnet,deep hit+,unisurv,cox-sage,YOLOS,DeepLabv3+,ProtBERT,U-Mamba
multivariable logistic regression,l2 regularized logistic regression,nu-support vector classification,nu-support vector regression,classification and regression trees,extra trees regressor,boosted regression tree,k-nearest neighbour,multinomial bayes classifier,feedforward artificial neural network,3d resnet,DenseNet201,EfficientNet family,vgg13,google network,mobilenet-v1,nested u-net,volumetric unet,attunet,YOLOv4,R-CNN family,single-shot multi box detector,phased lstm,gru-rnn,blstm,biomedbert,gpt2,convolutional vision transformer,mae,fast-sam,BLIP,pathology-genomics transformer,GCNII,HAN,neighborhood sampling aggregation,vector quantized variational autoencoder,cgan,ddm,aft models,cox-time,dynamic deephit+,tracer,cox sage,detection transformers,ENet,ProtT5,Swin-UMamba
